Language Task Size Select_size Model Metric Value
btz surSeg 1000 125 transformer recall 0.21546666666666667
btz surSeg 1000 125 transformer f1 0.2201
btz surSeg 1000 150 transformer precision 0.2379
btz surSeg 1000 150 transformer recall 0.21826666666666666
btz surSeg 1000 150 transformer f1 0.22406666666666666
btz surSeg 1000 175 transformer precision 0.22403333333333333
btz surSeg 1000 175 transformer recall 0.20428333333333334
btz surSeg 1000 175 transformer f1 0.21063333333333334
btz surSeg 1000 200 transformer precision 0.23893333333333333
btz surSeg 1000 200 transformer recall 0.21815
btz surSeg 1000 200 transformer f1 0.22473333333333334
btz surSeg 1000 225 transformer precision 0.22235
btz surSeg 1000 225 transformer recall 0.19896666666666665
btz surSeg 1000 225 transformer f1 0.20668333333333333
btz surSeg 1000 250 transformer precision 0.21341666666666667
btz surSeg 1000 250 transformer recall 0.1926
btz surSeg 1000 250 transformer f1 0.19893333333333332
btz surSeg 1000 275 transformer precision 0.2429
btz surSeg 1000 275 transformer recall 0.2271
btz surSeg 1000 275 transformer f1 0.23065
btz surSeg 1000 300 transformer precision 0.23998333333333333
btz surSeg 1000 300 transformer recall 0.2183166666666667
btz surSeg 1000 300 transformer f1 0.22445
btz surSeg 1000 325 transformer precision 0.24465
btz surSeg 1000 325 transformer recall 0.23040000000000002
btz surSeg 1000 325 transformer f1 0.23255
btz surSeg 1000 350 transformer precision 0.25488333333333335
btz surSeg 1000 350 transformer recall 0.24265
btz surSeg 1000 350 transformer f1 0.24428333333333332
btz surSeg 1000 375 transformer precision 0.26005
btz surSeg 1000 375 transformer recall 0.2374
btz surSeg 1000 375 transformer f1 0.24446666666666667
btz surSeg 1000 400 transformer precision 0.2508166666666667
btz surSeg 1000 400 transformer recall 0.23165
btz surSeg 1000 400 transformer f1 0.2376
btz surSeg 1000 425 transformer precision 0.2644166666666667
btz surSeg 1000 425 transformer recall 0.247
btz surSeg 1000 425 transformer f1 0.252
btz surSeg 1000 450 transformer precision 0.2576333333333333
btz surSeg 1000 450 transformer recall 0.24128333333333335
btz surSeg 1000 450 transformer f1 0.24561666666666668
btz surSeg 1000 475 transformer precision 0.26380000000000003
btz surSeg 1000 475 transformer recall 0.2549
btz surSeg 1000 475 transformer f1 0.25633333333333336
btz surSeg 1000 500 transformer precision 0.2712
btz surSeg 1000 500 transformer recall 0.2558166666666667
btz surSeg 1000 500 transformer f1 0.25925
btz surSeg 1000 525 transformer precision 0.2717833333333333
btz surSeg 1000 525 transformer recall 0.25703333333333334
btz surSeg 1000 525 transformer f1 0.26015
btz surSeg 1000 550 transformer precision 0.26280000000000003
btz surSeg 1000 550 transformer recall 0.24345
btz surSeg 1000 550 transformer f1 0.24971666666666667
btz surSeg 1000 575 transformer precision 0.2845
btz surSeg 1000 575 transformer recall 0.26648333333333335
btz surSeg 1000 575 transformer f1 0.2719666666666667
btz surSeg 1000 600 transformer precision 0.27203333333333335
btz surSeg 1000 600 transformer recall 0.2597666666666667
btz surSeg 1000 600 transformer f1 0.2624166666666667
btz surSeg 1000 625 transformer precision 0.2821166666666667
btz surSeg 1000 625 transformer recall 0.2596833333333333
btz surSeg 1000 625 transformer f1 0.2667333333333333
btz surSeg 1000 650 transformer precision 0.27668333333333334
btz surSeg 1000 650 transformer recall 0.2627333333333333
btz surSeg 1000 650 transformer f1 0.26543333333333335
btz surSeg 1000 675 transformer precision 0.2811666666666667
btz surSeg 1000 675 transformer recall 0.2581
btz surSeg 1000 675 transformer f1 0.2660166666666667
btz surSeg 1000 700 transformer precision 0.29908333333333337
btz surSeg 1000 700 transformer recall 0.28095000000000003
btz surSeg 1000 700 transformer f1 0.28550000000000003
btz surSeg 1000 725 transformer precision 0.29106666666666664
btz surSeg 1000 725 transformer recall 0.28090000000000004
btz surSeg 1000 725 transformer f1 0.28236666666666665
btz surSeg 1000 750 transformer precision 0.29201666666666665
btz surSeg 1000 750 transformer recall 0.27815
btz surSeg 1000 750 transformer f1 0.2808333333333333
btz surSeg 1000 775 transformer precision 0.285
btz surSeg 1000 775 transformer recall 0.2689166666666667
btz surSeg 1000 775 transformer f1 0.2734666666666667
btz surSeg 1000 800 transformer precision 0.2881166666666667
btz surSeg 1000 800 transformer recall 0.26993333333333336
btz surSeg 1000 800 transformer f1 0.2752
btz surSeg 1000 825 transformer precision 0.30283333333333334
btz surSeg 1000 825 transformer recall 0.28121666666666667
btz surSeg 1000 825 transformer f1 0.2879333333333333
btz surSeg 1000 850 transformer precision 0.29481666666666667
btz surSeg 1000 850 transformer recall 0.28026666666666666
btz surSeg 1000 850 transformer f1 0.2841166666666667
btz surSeg 1000 875 transformer precision 0.30345
btz surSeg 1000 875 transformer recall 0.2996666666666667
btz surSeg 1000 875 transformer f1 0.29746666666666666
btz surSeg 1000 900 transformer precision 0.29195000000000004
btz surSeg 1000 900 transformer recall 0.27821666666666667
btz surSeg 1000 900 transformer f1 0.2823333333333333
btz surSeg 1500 0 transformer precision 0.2498
btz surSeg 1500 0 transformer recall 0.22936666666666666
btz surSeg 1500 0 transformer f1 0.23421666666666668
btz surSeg 1500 25 transformer precision 0.2388
btz surSeg 1500 25 transformer recall 0.21703333333333333
btz surSeg 1500 25 transformer f1 0.22301666666666667
btz surSeg 1500 50 transformer precision 0.2511333333333333
btz surSeg 1500 50 transformer recall 0.22543333333333332
btz surSeg 1500 50 transformer f1 0.23336666666666667
btz surSeg 1500 75 transformer precision 0.24939999999999998
btz surSeg 1500 75 transformer recall 0.23471666666666668
btz surSeg 1500 75 transformer f1 0.23773333333333332
btz surSeg 1500 100 transformer precision 0.24891666666666667
btz surSeg 1500 100 transformer recall 0.23108333333333334
btz surSeg 1500 100 transformer f1 0.23541666666666666
btz surSeg 1500 125 transformer precision 0.24771666666666667
btz surSeg 1500 125 transformer recall 0.23146666666666665
btz surSeg 1500 125 transformer f1 0.23508333333333334
btz surSeg 1500 150 transformer precision 0.25693333333333335
btz surSeg 1500 150 transformer recall 0.23866666666666667
btz surSeg 1500 150 transformer f1 0.2435
btz surSeg 1500 175 transformer precision 0.22966666666666666
btz surSeg 1500 175 transformer recall 0.21871666666666667
btz surSeg 1500 175 transformer f1 0.21913333333333335
btz surSeg 1500 200 transformer precision 0.26163333333333333
btz surSeg 1500 200 transformer recall 0.24609999999999999
btz surSeg 1500 200 transformer f1 0.24925
btz surSeg 1500 225 transformer precision 0.2619666666666667
btz surSeg 1500 225 transformer recall 0.24378333333333332
btz surSeg 1500 225 transformer f1 0.24810000000000001
btz surSeg 1500 250 transformer precision 0.26185
btz surSeg 1500 250 transformer recall 0.24666666666666667
btz surSeg 1500 250 transformer f1 0.24991666666666668
btz surSeg 1500 275 transformer precision 0.26193333333333335
btz surSeg 1500 275 transformer recall 0.24226666666666669
btz surSeg 1500 275 transformer f1 0.24776666666666666
btz surSeg 1500 300 transformer precision 0.2746166666666667
btz surSeg 1500 300 transformer recall 0.2523
