Language Task Size Select_size Model Metric Value
btz surSeg 100 25 transformer f1 0.08246666666666667
btz surSeg 100 50 transformer precision 0.11270000000000001
btz surSeg 100 50 transformer recall 0.10186666666666667
btz surSeg 100 50 transformer f1 0.10533333333333333
btz surSeg 100 75 transformer precision 0.09128333333333334
btz surSeg 100 75 transformer recall 0.08238333333333334
btz surSeg 100 75 transformer f1 0.08475
btz surSeg 100 100 transformer precision 0.09875
btz surSeg 100 100 transformer recall 0.09055
btz surSeg 100 100 transformer f1 0.09286666666666667
btz surSeg 100 125 transformer precision 0.09016666666666667
btz surSeg 100 125 transformer recall 0.08881666666666667
btz surSeg 100 125 transformer f1 0.08746666666666666
btz surSeg 100 150 transformer precision 0.08078333333333333
btz surSeg 100 150 transformer recall 0.07283333333333333
btz surSeg 100 150 transformer f1 0.07421666666666667
btz surSeg 100 175 transformer precision 0.0982
btz surSeg 100 175 transformer recall 0.08908333333333333
btz surSeg 100 175 transformer f1 0.09088333333333333
btz surSeg 100 200 transformer precision 0.08686666666666666
btz surSeg 100 200 transformer recall 0.07963333333333333
btz surSeg 100 200 transformer f1 0.08143333333333334
btz surSeg 100 225 transformer precision 0.0954
btz surSeg 100 225 transformer recall 0.0925
btz surSeg 100 225 transformer f1 0.0914
btz surSeg 100 250 transformer precision 0.08201666666666667
btz surSeg 100 250 transformer recall 0.07923333333333334
btz surSeg 100 250 transformer f1 0.07838333333333333
btz surSeg 100 275 transformer precision 0.08956666666666667
btz surSeg 100 275 transformer recall 0.08338333333333334
btz surSeg 100 275 transformer f1 0.084
btz surSeg 100 300 transformer precision 0.09758333333333334
btz surSeg 100 300 transformer recall 0.08481666666666667
btz surSeg 100 300 transformer f1 0.08708333333333333
btz surSeg 100 325 transformer precision 0.111
btz surSeg 100 325 transformer recall 0.101
btz surSeg 100 325 transformer f1 0.1029
btz surSeg 100 350 transformer precision 0.08551666666666667
btz surSeg 100 350 transformer recall 0.08103333333333333
btz surSeg 100 350 transformer f1 0.08041666666666666
